news_id,all_entity_ids
N55528,"['Q80976', 'Q43274', 'Q9682']"
N19639,['Q193583']
N61837,['Q212']
N53526,['Q155223']
N38324,"['Q3179593', 'Q371820', 'Q171171']"
N2073,['Q1215884']
N49186,['Q49233']
N59295,"['Q298', 'Q2887']"
N24510,['Q1323662']
N39237,"['Q3191485', 'Q7957644']"
N9721,[]
N60905,"['Q1211586', 'Q173476']"
N39758,['Q3403879']
N28361,['Q209330']
N18680,['Q1166']
N55610,['Q10479']
N35621,[]
N22850,['Q466786']
N58173,"['Q27150138', 'Q910928']"
N29120,"['Q223527', 'Q37320', 'Q14950911', 'Q286036']"
N9786,"['Q29552', 'Q5092', 'Q934898', 'Q54109']"
N47705,"['Q2260058', 'Q99', 'Q824278', 'Q201358', 'Q812', 'Q1397', 'Q194195']"
N3574,"['Q408', 'Q534238']"
N42474,"['Q48968552', 'Q3122864', 'Q29474280', 'Q3884', 'Q355', 'Q22686', 'Q95', 'Q312']"
N64498,['Q910409']
N7517,[]
N63665,"['Q7687701', 'Q21168841', 'Q3517772']"
N59469,['Q10479']
N57356,"['Q20962060', 'Q312']"
N15926,[]
N43620,"['Q142', 'Q1065']"
N60603,"['Q41187', 'Q5014725']"
N40078,[]
N61409,"['Q355', 'Q907311']"
N46013,[]
N50643,"['Q1527', 'Q6868552']"
N60723,"['Q84', 'Q58819597']"
N63175,"['Q739499', 'Q976396', 'Q926248', 'Q155223']"
N22028,['Q18424']
N8795,"['Q715583', 'Q1624317']"
N43647,"['Q55669360', 'Q28401695']"
N41835,[]
N8071,['Q42049']
N26926,['Q11995']
N49265,['Q2915430']
N5124,"['Q7185676', 'Q271805']"
N42777,['Q43274']
N41387,['Q499767']
N41106,['Q10993']
N37243,['Q30']
N20139,[]
N9680,"['Q941023', 'Q20641700']"
N35518,[]
N60434,"['Q7270307', 'Q9682']"
N48239,[]
N40045,"['Q56008', 'Q23768', 'Q6993430', 'Q30']"
N43946,"['Q537407', 'Q54437950']"
N10836,['Q3517772']
N49585,['Q183']
N24798,[]
N64668,"['Q786803', 'Q15044972']"
N27435,"['Q166105', 'Q164177']"
N3395,"['Q129240', 'Q907311', 'Q23633']"
N53133,['Q2736850']
N30702,['Q371820']
N14538,"['Q534238', 'Q44294', 'Q5597534']"
N37188,"['Q60', 'Q371820', 'Q1157038']"
N1032,"['Q739092', 'Q2707177']"
N30953,['Q7118517']
N10886,[]
N52386,"['Q18205509', 'Q7201457', 'Q21515382']"
N22218,['Q30']
N57388,"['Q848117', 'Q265538', 'Q1193671']"
N30389,['Q20714861']
N16104,"['Q1751429', 'Q30', 'Q6148929']"
N25540,[]
N51343,"['Q13974', 'Q1030329', 'Q7979443']"
N60774,"['Q165972', 'Q5875916', 'Q130838', 'Q812']"
N37129,['Q6502151']
N64723,"['Q172435', 'Q38952', 'Q224164']"
N3080,['Q43668']
N40494,"['Q18002970', 'Q38668629', 'Q13590412']"
N15839,"['Q192152', 'Q830369']"
N19163,"['Q318094', 'Q172610', 'Q6407533', 'Q750015', 'Q892447', 'Q3069684']"
N13343,[]
N60852,[]
N61864,[]
N36064,[]
N35788,['Q1353305']
N61167,[]
N27190,"['Q6276908', 'Q212654', 'Q1153176']"
N9035,['Q193390']
N19651,[]
N22957,"['Q47596', 'Q1330910']"
N63006,[]
N5159,['Q431140']
N47685,[]
N44720,['Q19876954']
N55024,['Q4637383']
N44162,"['Q24809702', 'Q5083', 'Q276539']"
N52683,['Q327416']
N8185,['Q1537791']
N1358,"['Q29468', 'Q1280288']"
N39817,"['Q715583', 'Q483551', 'Q1046951']"
N54799,[]
N34169,['Q10479']
N33303,"['Q20713193', 'Q692041']"
N51340,[]
N46021,[]
